Time(5 mins),Day of Week,Probe speed ,Probe flow ,Sensor speed ,Sensor flow 
1/7/2019 0:00,1,69.1,92,73.5,72
1/7/2019 0:05,1,70.2,92,74.3,54
1/7/2019 0:10,1,70.3,92,73.1,49
1/7/2019 0:15,1,64.7,82,73,62
1/7/2019 0:20,1,64.5,82,70.7,47
1/7/2019 0:25,1,64.5,82,71.6,44
1/7/2019 0:30,1,70,72,72.4,46
1/7/2019 0:35,1,69.8,72,73.4,40
1/7/2019 0:40,1,69.8,72,74.4,49
1/7/2019 0:45,1,69.7,62,75.3,34
1/7/2019 0:50,1,66,62,72.6,33
1/7/2019 0:55,1,65.4,62,72.4,35
1/7/2019 1:00,1,65.8,55,70.7,39
1/7/2019 1:05,1,66,55,73.7,35
1/7/2019 1:10,1,68.2,55,72,24
1/7/2019 1:15,1,69,51,72.5,34
1/7/2019 1:20,1,68.2,51,71.8,29
1/7/2019 1:25,1,72,51,71,27
1/7/2019 1:30,1,72.9,48,70.3,33
1/7/2019 1:35,1,72.9,48,71.5,15
1/7/2019 1:40,1,66.4,48,65.2,29
1/7/2019 1:45,1,65.7,44,70.7,25
1/7/2019 1:50,1,65.7,44,66.7,13
1/7/2019 1:55,1,66.4,44,65.2,28
1/7/2019 2:00,1,66.4,41,65.4,26
1/7/2019 2:05,1,67.7,41,65.7,19
1/7/2019 2:10,1,62.3,41,55.5,24
1/7/2019 2:15,1,60.2,38,63.7,28
1/7/2019 2:20,1,60.8,38,62.5,14
1/7/2019 2:25,1,60.8,38,60.9,27
1/7/2019 2:30,1,61.1,34,59,15
1/7/2019 2:35,1,62.5,34,61.4,18
1/7/2019 2:40,1,67.1,34,51.2,18
1/7/2019 2:45,1,69.6,34,60,29
1/7/2019 2:50,1,69.6,34,56.4,14
1/7/2019 2:55,1,69.4,34,59.2,20
1/7/2019 3:00,1,67.2,31,61.9,23
1/7/2019 3:05,1,67.1,31,57.2,16
1/7/2019 3:10,1,66.4,31,56.6,28
1/7/2019 3:15,1,60.6,34,55.5,32
1/7/2019 3:20,1,56.2,34,57.2,35
1/7/2019 3:25,1,51.3,34,59.1,42
1/7/2019 3:30,1,55.2,38,58.1,40
1/7/2019 3:35,1,58.8,38,57.5,20
1/7/2019 3:40,1,58.3,38,60.3,22
1/7/2019 3:45,1,58,41,51.9,63
1/7/2019 3:50,1,42.9,41,61.9,45
1/7/2019 3:55,1,35.5,41,58.9,69
1/7/2019 4:00,1,36.7,44,61.7,52
1/7/2019 4:05,1,44.4,44,62.8,38
1/7/2019 4:10,1,53.2,44,62.1,86
1/7/2019 4:15,1,67.3,55,64.9,67
1/7/2019 4:20,1,65.3,55,62.1,77
1/7/2019 4:25,1,59.2,55,64.3,82
1/7/2019 4:30,1,59.2,72,66.7,81
1/7/2019 4:35,1,59.1,72,63.8,93
1/7/2019 4:40,1,58.6,72,64,108
1/7/2019 4:45,1,62.3,96,65.3,106
1/7/2019 4:50,1,63.9,96,65.9,118
1/7/2019 4:55,1,65.1,96,65.9,119
1/7/2019 5:00,1,67,123,66.6,127
1/7/2019 5:05,1,65.3,123,68.6,125
1/7/2019 5:10,1,65,123,66.9,133
1/7/2019 5:15,1,64.6,160,65.2,251
1/7/2019 5:20,1,67.3,160,66.7,230
1/7/2019 5:25,1,68.4,160,66.4,240
1/7/2019 5:30,1,68.6,215,66.4,255
1/7/2019 5:35,1,65.1,215,67.1,313
1/7/2019 5:40,1,66.9,215,66.5,312
1/7/2019 5:45,1,70.2,283,66.9,359
1/7/2019 5:50,1,65.9,283,66,385
1/7/2019 5:55,1,66.7,283,64.8,376
1/7/2019 6:00,1,65.9,375,66.4,368
1/7/2019 6:05,1,68.6,375,63.5,439
1/7/2019 6:10,1,64.1,375,66.8,383
1/7/2019 6:15,1,64.3,419,64.4,478
1/7/2019 6:20,1,61.1,419,53.7,566
1/7/2019 6:25,1,52,419,47.7,565
1/7/2019 6:30,1,51.4,460,54.8,606
1/7/2019 6:35,1,51.7,460,54.8,624
1/7/2019 6:40,1,49.2,460,54.1,628
1/7/2019 6:45,1,42.9,505,50.7,639
1/7/2019 6:50,1,44.3,505,51.7,646
1/7/2019 6:55,1,47.2,505,51.7,640
1/7/2019 7:00,1,39.2,559,34.2,552
1/7/2019 7:05,1,39.7,559,52.1,585
1/7/2019 7:10,1,40.9,559,48.7,614
1/7/2019 7:15,1,34.7,549,37.8,578
1/7/2019 7:20,1,35.4,549,32.9,564
1/7/2019 7:25,1,39.4,549,42.7,640
1/7/2019 7:30,1,39,539,34,556
1/7/2019 7:35,1,38.3,539,35.7,543
1/7/2019 7:40,1,42.8,539,51.8,636
1/7/2019 7:45,1,38,528,44.6,617
1/7/2019 7:50,1,33.7,528,27.6,543
1/7/2019 7:55,1,32.4,528,37.6,602
1/7/2019 8:00,1,35.7,518,36.3,531
1/7/2019 8:05,1,37.1,518,42,623
1/7/2019 8:10,1,37.8,518,40.6,590
1/7/2019 8:15,1,33.6,494,32.9,477
1/7/2019 8:20,1,28.5,494,43,620
1/7/2019 8:25,1,47,494,54.5,614
1/7/2019 8:30,1,43.2,474,52.6,628
1/7/2019 8:35,1,42.1,474,32.1,530
