Time(5 mins),Day of Week,Probe speed ,Probe flow ,Sensor speed ,Sensor flow 
1/7/2019 0:00,1,68.7,84,72.2,69
1/7/2019 0:05,1,68.6,84,74.8,48
1/7/2019 0:10,1,69.1,84,73.4,53
1/7/2019 0:15,1,68,74,73.9,51
1/7/2019 0:20,1,67.3,74,72.2,35
1/7/2019 0:25,1,65,74,70.1,48
1/7/2019 0:30,1,72.1,65,72.2,43
1/7/2019 0:35,1,70.3,65,72.7,35
1/7/2019 0:40,1,70.2,65,74.3,42
1/7/2019 0:45,1,70.6,56,73.3,33
1/7/2019 0:50,1,67.2,56,72.7,30
1/7/2019 0:55,1,67.2,56,70.1,36
1/7/2019 1:00,1,67.4,50,73.7,42
1/7/2019 1:05,1,67.5,50,73.2,23
1/7/2019 1:10,1,72.1,50,73.8,22
1/7/2019 1:15,1,67.7,47,72.5,35
1/7/2019 1:20,1,67.7,47,70.8,23
1/7/2019 1:25,1,67.7,47,69.8,23
1/7/2019 1:30,1,67.7,43,67.9,22
1/7/2019 1:35,1,67.7,43,71.5,22
1/7/2019 1:40,1,68.2,43,68.8,26
1/7/2019 1:45,1,69.6,40,70.1,24
1/7/2019 1:50,1,69.6,40,65.6,11
1/7/2019 1:55,1,69.6,40,65.3,25
1/7/2019 2:00,1,69.6,37,66.1,24
1/7/2019 2:05,1,68.8,37,62.8,24
1/7/2019 2:10,1,64.1,37,62.9,17
1/7/2019 2:15,1,64.4,34,63.2,23
1/7/2019 2:20,1,64.6,34,57.6,8
1/7/2019 2:25,1,64.6,34,60.6,31
1/7/2019 2:30,1,64.8,31,50.4,16
1/7/2019 2:35,1,65.5,31,52.7,16
1/7/2019 2:40,1,69.6,31,50.2,21
1/7/2019 2:45,1,69.6,31,54.2,21
1/7/2019 2:50,1,69.6,31,50.1,11
1/7/2019 2:55,1,68.3,31,58.4,20
1/7/2019 3:00,1,65.8,28,55,25
1/7/2019 3:05,1,65.8,28,53.1,18
1/7/2019 3:10,1,64.3,28,52.7,27
1/7/2019 3:15,1,59,31,50.2,37
1/7/2019 3:20,1,52.8,31,58.1,33
1/7/2019 3:25,1,53.9,31,56.1,45
1/7/2019 3:30,1,56.5,34,56.4,35
1/7/2019 3:35,1,63.7,34,53.3,20
1/7/2019 3:40,1,63.7,34,53,12
1/7/2019 3:45,1,62.1,37,47.1,62
1/7/2019 3:50,1,52.3,37,57.4,60
1/7/2019 3:55,1,52.3,37,55.3,67
1/7/2019 4:00,1,54.9,40,56.9,39
1/7/2019 4:05,1,58.8,40,57.6,47
1/7/2019 4:10,1,60.7,40,58.3,80
1/7/2019 4:15,1,65.3,50,60.3,71
1/7/2019 4:20,1,63.4,50,58.2,81
1/7/2019 4:25,1,64,50,58.7,69
1/7/2019 4:30,1,64,65,64.1,78
1/7/2019 4:35,1,64,65,57.7,93
1/7/2019 4:40,1,63.8,65,58.4,101
1/7/2019 4:45,1,64.2,87,62,118
1/7/2019 4:50,1,65.4,87,61.2,107
1/7/2019 4:55,1,66.1,87,62.3,123
1/7/2019 5:00,1,67.6,112,63.8,115
1/7/2019 5:05,1,65.2,112,62,131
1/7/2019 5:10,1,63,112,62.6,140
1/7/2019 5:15,1,64.1,146,62.2,225
1/7/2019 5:20,1,64.6,146,62.9,225
1/7/2019 5:25,1,68.2,146,64,230
1/7/2019 5:30,1,67.6,195,62.1,236
1/7/2019 5:35,1,66.4,195,62.3,306
1/7/2019 5:40,1,70.2,195,63.6,292
1/7/2019 5:45,1,72.6,257,63.9,332
1/7/2019 5:50,1,70.2,257,63.7,361
1/7/2019 5:55,1,67.5,257,62.8,399
1/7/2019 6:00,1,65.5,341,63.7,362
1/7/2019 6:05,1,67.9,341,60.2,439
1/7/2019 6:10,1,64.9,341,64.5,378
1/7/2019 6:15,1,63.1,381,62.7,462
1/7/2019 6:20,1,63.1,381,55.3,576
1/7/2019 6:25,1,50.4,381,48.1,603
1/7/2019 6:30,1,42.6,418,35.9,541
1/7/2019 6:35,1,47.7,418,50.6,637
1/7/2019 6:40,1,45,418,42.7,603
1/7/2019 6:45,1,39.9,458,33,588
1/7/2019 6:50,1,45.1,458,48.9,641
1/7/2019 6:55,1,50.1,458,50.4,644
1/7/2019 7:00,1,46.7,508,49,630
1/7/2019 7:05,1,35.2,508,35.1,531
1/7/2019 7:10,1,29.9,508,33.8,573
1/7/2019 7:15,1,39.4,498,40.8,605
1/7/2019 7:20,1,34.7,498,32.4,536
1/7/2019 7:25,1,34.7,498,36.8,591
1/7/2019 7:30,1,39,489,41.7,583
1/7/2019 7:35,1,28.9,489,24.1,469
1/7/2019 7:40,1,31.8,489,26.1,504
1/7/2019 7:45,1,37.6,480,45.1,592
1/7/2019 7:50,1,34.3,480,33.3,565
1/7/2019 7:55,1,27.7,480,24.4,484
1/7/2019 8:00,1,32.3,471,28,515
1/7/2019 8:05,1,34.6,471,34.7,604
1/7/2019 8:10,1,36.7,471,32.6,550
1/7/2019 8:15,1,36.6,449,38.2,583
1/7/2019 8:20,1,30.6,449,28.4,518
1/7/2019 8:25,1,32.2,449,34,587
1/7/2019 8:30,1,36.6,430,36.8,587
1/7/2019 8:35,1,43.2,430,44.5,621
1/7/2019 8:40,1,30.9,430,33.9,525
1/7/2019 8:45,1,41.3,409,44.9,593
1/7/2019 8:50,1,53,409,52.8,622
1/7/2019 8:55,1,53.6,409,54.3,612
1/7/2019 9:00,1,51.8,393,54.7,608
1/7/2019 9:05,1,57.9,393,54.9,600
1/7/2019 9:10,1,62.5,393,54.3,606
1/7/2019 9:15,1,66,390,64.8,564
1/7/2019 9:20,1,68.9,390,62.7,623
1/7/2019 9:25,1,62.8,390,61.7,614
1/7/2019 9:30,1,62,387,62.3,628
1/7/2019 9:35,1,63.6,387,63.5,599
1/7/2019 9:40,1,63,387,66.1,563
1/7/2019 9:45,1,71.5,387,67.5,577
1/7/2019 9:50,1,69.4,387,69.3,485
1/7/2019 9:55,1,69.9,387,69.4,505
1/7/2019 10:00,1,68.7,387,70,460
1/7/2019 10:05,1,69.9,387,69,449
1/7/2019 10:10,1,68.4,387,68.8,483
1/7/2019 10:15,1,70.8,393,69.4,506
1/7/2019 10:20,1,71.6,393,69.1,479
1/7/2019 10:25,1,70,393,70.7,475
1/7/2019 10:30,1,69.6,399,70.7,439
1/7/2019 10:35,1,72.7,399,70.2,471
1/7/2019 10:40,1,68.6,399,70.3,478
1/7/2019 10:45,1,70.8,409,71.2,466
1/7/2019 10:50,1,71.4,409,71,427
1/7/2019 10:55,1,72,409,69.1,450
1/7/2019 11:00,1,67.3,418,70.9,433
1/7/2019 11:05,1,66.9,418,69,473
1/7/2019 11:10,1,68.6,418,69.4,454
1/7/2019 11:15,1,72.2,421,71.3,340
1/7/2019 11:20,1,67.7,421,71.4,317
1/7/2019 11:25,1,67.5,421,70.3,327
1/7/2019 11:30,1,70.9,424,71,416
1/7/2019 11:35,1,71.5,424,68.4,560
1/7/2019 11:40,1,68.6,424,65.8,613
1/7/2019 11:45,1,66.6,427,64.1,689
1/7/2019 11:50,1,63.6,427,69.7,512
1/7/2019 11:55,1,68.7,427,70.4,469
1/7/2019 12:00,1,68.8,430,69.7,486
1/7/2019 12:05,1,67.3,430,69.4,516
1/7/2019 12:10,1,70.2,430,70.3,460
1/7/2019 12:15,1,70.1,433,70.6,517
1/7/2019 12:20,1,71.8,433,71.6,467
1/7/2019 12:25,1,70.6,433,69.7,497
1/7/2019 12:30,1,68.7,436,70.5,497
1/7/2019 12:35,1,71.8,436,70.7,491
1/7/2019 12:40,1,68.2,436,67.6,510
1/7/2019 12:45,1,63,440,66,502
1/7/2019 12:50,1,62.4,440,66.5,465
1/7/2019 12:55,1,64.1,440,67,446
1/7/2019 13:00,1,66.2,443,66.8,465
1/7/2019 13:05,1,67.9,443,65.4,502
1/7/2019 13:10,1,68.3,443,62.8,459
1/7/2019 13:15,1,66.3,452,66.2,486
1/7/2019 13:20,1,66.3,452,69,461
1/7/2019 13:25,1,65.5,452,68.1,455
1/7/2019 13:30,1,65.3,464,66.5,469
1/7/2019 13:35,1,66.1,464,65.8,444
1/7/2019 13:40,1,62.1,464,65.1,491
1/7/2019 13:45,1,67.9,477,65,465
1/7/2019 13:50,1,64.6,477,64.6,467
1/7/2019 13:55,1,65.1,477,60.7,492
1/7/2019 14:00,1,62.9,489,61.7,482
1/7/2019 14:05,1,64.4,489,64.2,509
1/7/2019 14:10,1,66.6,489,65.6,449
1/7/2019 14:15,1,65.1,511,65.7,485
1/7/2019 14:20,1,61.1,511,64.5,478
1/7/2019 14:25,1,69.8,511,64.1,464
1/7/2019 14:30,1,68.1,526,66.2,475
1/7/2019 14:35,1,65.6,526,64.2,523
1/7/2019 14:40,1,64.6,526,58.3,460
1/7/2019 14:45,1,59.5,545,64.1,539
1/7/2019 14:50,1,66.4,545,66.1,520
1/7/2019 14:55,1,68.2,545,66.8,516
1/7/2019 15:00,1,68.6,563,65.9,534
1/7/2019 15:05,1,61.9,563,64.3,547
1/7/2019 15:10,1,62.4,563,66.3,525
1/7/2019 15:15,1,67.5,573,65.3,567
1/7/2019 15:20,1,68.8,573,61.9,520
1/7/2019 15:25,1,67.1,573,60.4,630
1/7/2019 15:30,1,67.6,579,66.2,545
1/7/2019 15:35,1,64,579,64.4,586
1/7/2019 15:40,1,64,579,62.9,634
1/7/2019 15:45,1,66.4,588,65.6,628
1/7/2019 15:50,1,67.7,588,61.7,605
1/7/2019 15:55,1,59.2,588,60.2,622
1/7/2019 16:00,1,64.4,597,65.2,565
1/7/2019 16:05,1,71.7,597,63.2,585
1/7/2019 16:10,1,64.7,597,64.6,622
1/7/2019 16:15,1,63.9,594,61.8,661
1/7/2019 16:20,1,62.3,594,58.4,635
1/7/2019 16:25,1,66.4,594,62.3,564
1/7/2019 16:30,1,62.5,594,57,623
1/7/2019 16:35,1,64.7,594,60.1,597
1/7/2019 16:40,1,60.6,594,58.7,643
1/7/2019 16:45,1,60.8,591,59.3,636
1/7/2019 16:50,1,61.4,591,61,654
1/7/2019 16:55,1,65.2,591,64,579
1/7/2019 17:00,1,67,591,63.6,601
1/7/2019 17:05,1,63.2,591,63.3,574
1/7/2019 17:10,1,65.1,591,62.9,615
1/7/2019 17:15,1,69.8,560,64.2,606
1/7/2019 17:20,1,65.2,560,59.9,640
1/7/2019 17:25,1,62.3,560,62.7,586
1/7/2019 17:30,1,62.5,539,59.2,568
1/7/2019 17:35,1,60.6,539,61.8,535
1/7/2019 17:40,1,58.8,539,57.8,592
1/7/2019 17:45,1,60.7,517,57.9,582
1/7/2019 17:50,1,57.9,517,61.1,530
1/7/2019 17:55,1,62,517,63.1,506
1/7/2019 18:00,1,66.8,498,63.7,491
1/7/2019 18:05,1,66.6,498,62.6,529
1/7/2019 18:10,1,64.2,498,65.2,533
1/7/2019 18:15,1,66.8,461,65.1,549
1/7/2019 18:20,1,67.1,461,65.7,514
1/7/2019 18:25,1,69.5,461,65.8,492
1/7/2019 18:30,1,68,427,67.2,477
1/7/2019 18:35,1,70.7,427,66.6,525
1/7/2019 18:40,1,70.9,427,66.1,467
1/7/2019 18:45,1,73.6,396,68.4,409
1/7/2019 18:50,1,66.9,396,69.8,360
1/7/2019 18:55,1,66.1,396,69,409
1/7/2019 19:00,1,68.1,365,69.4,329
1/7/2019 19:05,1,68.1,365,67.8,365
1/7/2019 19:10,1,68.8,365,69,373
1/7/2019 19:15,1,70.3,344,69.4,356
1/7/2019 19:20,1,68.8,344,71,296
1/7/2019 19:25,1,70,344,70.1,299
1/7/2019 19:30,1,71.3,325,69.7,299
1/7/2019 19:35,1,66.3,325,70.7,285
1/7/2019 19:40,1,70.6,325,70.1,271
1/7/2019 19:45,1,71.8,307,70.9,267
1/7/2019 19:50,1,71.2,307,70.4,253
1/7/2019 19:55,1,67.7,307,69.9,246
1/7/2019 20:00,1,64.5,288,69.7,263
1/7/2019 20:05,1,69,288,69.4,296
1/7/2019 20:10,1,65.2,288,70.7,286
1/7/2019 20:15,1,63.5,282,71.6,241
1/7/2019 20:20,1,69.4,282,70,274
1/7/2019 20:25,1,62.7,282,70.5,242
1/7/2019 20:30,1,58.2,279,71,212
1/7/2019 20:35,1,73.4,279,70.6,230
1/7/2019 20:40,1,74.2,279,70.1,232
1/7/2019 20:45,1,73.3,272,70.9,227
1/7/2019 20:50,1,69.5,272,71.3,194
1/7/2019 20:55,1,69.4,272,69.9,192
1/7/2019 21:00,1,71.6,269,71.1,176
1/7/2019 21:05,1,72.5,269,70.5,210
1/7/2019 21:10,1,69.4,269,70.1,210
1/7/2019 21:15,1,69.4,257,70,238
1/7/2019 21:20,1,66.3,257,70.1,237
1/7/2019 21:25,1,65.8,257,71,173
1/7/2019 21:30,1,67,248,70.7,165
1/7/2019 21:35,1,73.4,248,70,194
1/7/2019 21:40,1,74.6,248,71.4,193
1/7/2019 21:45,1,68.1,235,70.9,168
1/7/2019 21:50,1,65.7,235,71.3,170
1/7/2019 21:55,1,70.4,235,71.2,177
1/7/2019 22:00,1,73.8,226,70.2,145
1/7/2019 22:05,1,70.5,226,72.6,173
1/7/2019 22:10,1,66.3,226,71.6,187
1/7/2019 22:15,1,68.4,211,71.6,188
1/7/2019 22:20,1,76.5,211,71,172
1/7/2019 22:25,1,76.2,211,70.7,149
1/7/2019 22:30,1,59.8,192,71.9,127
1/7/2019 22:35,1,59.8,192,70.1,135
1/7/2019 22:40,1,59.8,192,70.8,138
1/7/2019 22:45,1,60.5,180,73.7,107
1/7/2019 22:50,1,69.2,180,72.2,88
1/7/2019 22:55,1,70.2,180,71.9,99
1/7/2019 23:00,1,69.8,167,69.8,95
1/7/2019 23:05,1,65.9,167,70.4,99
