Time(5 mins),Day of Week,Probe speed ,Probe flow ,Sensor speed ,Sensor flow 
1/7/2019 0:00,1,69.1,88,72.3,50
1/7/2019 0:05,1,68.3,88,72,43
1/7/2019 0:10,1,67.8,88,74.3,47
1/7/2019 0:15,1,67.8,76,74.1,40
1/7/2019 0:20,1,62,76,72,43
1/7/2019 0:25,1,54.7,76,64.8,37
1/7/2019 0:30,1,58.6,68,69.6,37
1/7/2019 0:35,1,63.3,68,71.2,49
1/7/2019 0:40,1,63.3,68,72.2,33
1/7/2019 0:45,1,63.3,60,74.5,39
1/7/2019 0:50,1,63.3,60,75.1,33
1/7/2019 0:55,1,65.4,60,72.1,21
1/7/2019 1:00,1,66.8,56,72.1,27
1/7/2019 1:05,1,67,56,72.2,39
1/7/2019 1:10,1,67,56,70.9,34
1/7/2019 1:15,1,67,52,69.8,17
1/7/2019 1:20,1,64.9,52,74,21
1/7/2019 1:25,1,65.9,52,70.7,28
1/7/2019 1:30,1,66.1,48,69.3,21
1/7/2019 1:35,1,66.1,48,68.4,29
1/7/2019 1:40,1,66.1,48,66.5,21
1/7/2019 1:45,1,67.3,48,68.9,23
1/7/2019 1:50,1,68.4,48,69.2,26
1/7/2019 1:55,1,68.5,48,67.9,20
1/7/2019 2:00,1,68.5,44,68.8,22
1/7/2019 2:05,1,68.5,44,64.7,25
1/7/2019 2:10,1,68.2,44,63.7,18
1/7/2019 2:15,1,63.4,44,58,11
1/7/2019 2:20,1,51.7,44,60.9,32
1/7/2019 2:25,1,53.2,44,64.7,25
1/7/2019 2:30,1,53.4,44,58.2,12
1/7/2019 2:35,1,53.4,44,61.7,16
1/7/2019 2:40,1,56,44,62.6,22
1/7/2019 2:45,1,59.2,44,58.8,19
1/7/2019 2:50,1,69.4,44,58.8,22
1/7/2019 2:55,1,69.4,44,59.6,25
1/7/2019 3:00,1,66.4,44,62.4,23
1/7/2019 3:05,1,62.2,44,61.4,25
1/7/2019 3:10,1,61.6,44,63.8,25
1/7/2019 3:15,1,60.4,48,61.7,21
1/7/2019 3:20,1,52.9,48,60,19
1/7/2019 3:25,1,54.5,48,62.4,38
1/7/2019 3:30,1,56.1,56,66.4,34
1/7/2019 3:35,1,63.4,56,66.1,34
1/7/2019 3:40,1,63.7,56,64.5,42
1/7/2019 3:45,1,56.5,64,63.6,31
1/7/2019 3:50,1,55.6,64,62.8,27
1/7/2019 3:55,1,58,64,66.1,63
1/7/2019 4:00,1,62,72,65.8,58
1/7/2019 4:05,1,64.2,72,64.6,67
1/7/2019 4:10,1,64.2,72,66.6,37
1/7/2019 4:15,1,63.5,96,68.7,49
1/7/2019 4:20,1,61.1,96,69.1,77
1/7/2019 4:25,1,65.6,96,68.3,80
1/7/2019 4:30,1,63.8,128,67.2,77
1/7/2019 4:35,1,66.5,128,68.3,90
1/7/2019 4:40,1,67.4,128,68,116
1/7/2019 4:45,1,67,168,67.8,106
1/7/2019 4:50,1,58.6,168,68.2,99
1/7/2019 4:55,1,58.3,168,67.8,108
1/7/2019 5:00,1,66.1,224,69.7,113
1/7/2019 5:05,1,69.7,224,68.9,130
1/7/2019 5:10,1,62.2,224,69,123
1/7/2019 5:15,1,64.4,296,69.2,142
1/7/2019 5:20,1,64.9,296,70.5,198
1/7/2019 5:25,1,68.5,296,68.7,196
1/7/2019 5:30,1,67.9,380,68.7,233
1/7/2019 5:35,1,68.1,380,69.3,269
1/7/2019 5:40,1,66.8,380,68.7,310
1/7/2019 5:45,1,69,500,68.6,312
1/7/2019 5:50,1,67.9,500,69.4,330
1/7/2019 5:55,1,65.5,500,69.3,305
1/7/2019 6:00,1,67.3,652,69.1,321
1/7/2019 6:05,1,69.3,652,68.7,324
1/7/2019 6:10,1,68.7,652,68.3,355
1/7/2019 6:15,1,67.4,708,66.7,387
1/7/2019 6:20,1,62.5,708,68.8,393
1/7/2019 6:25,1,64,708,67.9,404
1/7/2019 6:30,1,65.8,776,63.3,478
1/7/2019 6:35,1,59.1,776,62.4,509
1/7/2019 6:40,1,53,776,59.8,562
1/7/2019 6:45,1,59.9,853,60.8,561
1/7/2019 6:50,1,57.9,853,62.4,580
1/7/2019 6:55,1,61.8,853,63.1,535
1/7/2019 7:00,1,60.9,937,63.8,541
1/7/2019 7:05,1,65.1,937,64.4,460
1/7/2019 7:10,1,62,937,63.9,507
1/7/2019 7:15,1,56.6,893,63.4,534
