Time(5 mins),Day of Week,Probe speed ,Probe flow ,Sensor speed ,Sensor flow 
1/7/2019 0:00,1,69.1,92,73.7,57
1/7/2019 0:05,1,70.2,92,73,72
1/7/2019 0:10,1,70.3,92,75.6,48
1/7/2019 0:15,1,64.7,82,74.1,47
1/7/2019 0:20,1,64.5,82,74.3,41
1/7/2019 0:25,1,64.5,82,73.6,41
1/7/2019 0:30,1,70,72,72.1,41
1/7/2019 0:35,1,69.8,72,71.5,31
1/7/2019 0:40,1,69.8,72,75.5,51
1/7/2019 0:45,1,69.7,62,74.7,33
1/7/2019 0:50,1,66,62,74.7,26
1/7/2019 0:55,1,65.4,62,74,31
1/7/2019 1:00,1,65.8,55,72.9,33
1/7/2019 1:05,1,66,55,75.7,32
1/7/2019 1:10,1,68.2,55,72.8,24
1/7/2019 1:15,1,69,51,72.4,25
1/7/2019 1:20,1,68.2,51,71.9,29
1/7/2019 1:25,1,72,51,69.6,18
1/7/2019 1:30,1,72.9,48,69.6,33
1/7/2019 1:35,1,72.9,48,70.6,10
1/7/2019 1:40,1,66.4,48,68,24
1/7/2019 1:45,1,65.7,44,72.1,23
1/7/2019 1:50,1,65.7,44,68.4,15
1/7/2019 1:55,1,66.4,44,66.1,23
1/7/2019 2:00,1,66.4,41,66.8,27
1/7/2019 2:05,1,67.7,41,68.5,14
1/7/2019 2:10,1,62.3,41,56,21
1/7/2019 2:15,1,60.2,38,60.1,25
1/7/2019 2:20,1,60.8,38,65.7,24
1/7/2019 2:25,1,60.8,38,59.9,14
1/7/2019 2:30,1,61.1,34,62,13
1/7/2019 2:35,1,62.5,34,61.1,17
1/7/2019 2:40,1,67.1,34,58.7,14
1/7/2019 2:45,1,69.6,34,60.3,31
1/7/2019 2:50,1,69.6,34,55,17
1/7/2019 2:55,1,69.4,34,60,13
1/7/2019 3:00,1,67.2,31,63.4,24
1/7/2019 3:05,1,67.1,31,59.9,19
1/7/2019 3:10,1,66.4,31,58.6,24
1/7/2019 3:15,1,60.6,34,56,19
1/7/2019 3:20,1,56.2,34,57.1,50
1/7/2019 3:25,1,49.2,34,63.5,32
1/7/2019 3:30,1,55.2,38,61.5,38
1/7/2019 3:35,1,58.8,38,61.6,29
