Time(5 mins),Day of Week,Probe speed ,Probe flow ,Sensor speed ,Sensor flow 
1/7/2019 0:00,1,69.1,88,72.8,46
1/7/2019 0:05,1,68.3,88,71.8,48
1/7/2019 0:10,1,67.8,88,72.3,48
1/7/2019 0:15,1,67.8,76,72.7,44
1/7/2019 0:20,1,62,76,71.1,46
1/7/2019 0:25,1,54.7,76,66,42
1/7/2019 0:30,1,66.4,68,69.5,35
1/7/2019 0:35,1,63.3,68,70.8,48
1/7/2019 0:40,1,63.3,68,70.1,33
1/7/2019 0:45,1,63.3,60,71.2,42
1/7/2019 0:50,1,63.3,60,74.7,35
1/7/2019 0:55,1,65.4,60,69.3,28
1/7/2019 1:00,1,66.8,56,70.5,29
1/7/2019 1:05,1,67,56,71,39
1/7/2019 1:10,1,67,56,70.8,32
1/7/2019 1:15,1,67,52,69.3,14
1/7/2019 1:20,1,64.9,52,66.9,22
1/7/2019 1:25,1,65.9,52,69.1,27
1/7/2019 1:30,1,66.1,48,68.3,19
1/7/2019 1:35,1,66.1,48,67.1,29
1/7/2019 1:40,1,66.1,48,65.6,19
1/7/2019 1:45,1,67.3,48,68.8,26
1/7/2019 1:50,1,68.4,48,68.2,22
1/7/2019 1:55,1,68.5,48,67.2,16
1/7/2019 2:00,1,68.5,44,66.4,23
1/7/2019 2:05,1,68.5,44,63.2,22
1/7/2019 2:10,1,68.2,44,62.1,18
1/7/2019 2:15,1,63.4,44,58.9,14
1/7/2019 2:20,1,51.7,44,59.8,30
1/7/2019 2:25,1,53.2,44,64.7,24
1/7/2019 2:30,1,53.4,44,55.4,17
1/7/2019 2:35,1,53.4,44,65.1,14
1/7/2019 2:40,1,56,44,61.8,19
1/7/2019 2:45,1,59.2,44,59.6,21
1/7/2019 2:50,1,69.4,44,58,20
1/7/2019 2:55,1,69.4,44,57.8,22
1/7/2019 3:00,1,66.4,44,60.2,22
1/7/2019 3:05,1,62.2,44,60.1,26
1/7/2019 3:10,1,61.6,44,60.1,22
